Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score
2002/09/27,26.1,26.1,26.1,26.1,64,null,null,null,0.0,,,26.100000000000005,,26.100000000000005,,-0.1588631760803274,,,,,,,,0.0
2002/09/30,24.3,24.3,24.3,24.3,4,null,null,null,0.0,,,25.200000000000003,,25.200000000000003,,-0.1588631760803274,,,,,,,,
2002/10/01,22.6,22.6,22.6,22.6,11,null,null,null,0.0,,,24.33333333333334,,24.33333333333334,,-0.1588631760803274,,,,,,,,
2002/10/02,21.1,21.1,21.1,21.1,57,null,null,null,0.0,,,23.525000000000002,,23.525000000000002,,-0.1588631760803274,,,,,,,,
2002/10/03,19.7,19.7,19.7,19.7,42,0,0,-0.08,0.0,,,22.76,,22.76,,-0.1588631760803274,,22.76,,,,,,
2002/10/04,18.4,18.4,18.4,18.4,56,0,0,-0.02,0.0,,,22.033333333333335,,22.033333333333335,,-0.1588631760803274,,21.220000000000002,,,,,,
2002/10/07,17.2,17.2,17.2,17.2,128,0,0,-0.21,0.0,,,21.342857142857145,,21.342857142857145,,-0.1588631760803274,,19.8,,,,,,
2002/10/08,16.0,16.1,16.0,16.0,7763,1,0,-50,0.0,,,20.69166666666667,,20.666666666666668,,-0.1588631760803274,,18.48,,,,,,
2002/10/09,15.5,15.8,14.95,15.0,6793,0,0,-380.48,0.0,,,20.181481481481484,,19.97037037037037,,-0.1588631760803274,,17.259999999999998,,,,,,
2002/10/11,15.4,15.4,13.95,13.95,5064,0,0,-458.2,0.0,,,19.75166666666667,,19.27166666666667,,-0.1588631760803274,,16.109999999999996,19.435,,,,,
2002/10/14,14.0,14.2,13.3,13.65,2374,0,0,-500,0.0,,,19.284848484848485,,18.684848484848484,,-0.1588631760803274,,15.16,18.19,,,,,
2002/10/15,14.1,14.6,14.1,14.6,1127,0,100,-20,0.0,,,18.922222222222224,,18.288888888888888,,-0.1588631760803274,,14.639999999999997,17.22,,,,,
2002/10/16,15.6,15.6,15.6,15.6,876,null,null,null,0.0,,,18.666666666666668,,18.08205128205128,,-0.1588631760803274,,14.559999999999999,16.52,,,,,
