Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score
2000/01/04,78.0,79.5,75.0,75.5,125882,null,null,null,6.17,,,81.16666666666667,,72.16666666666667,,-0.5499453840385851,,,,,,,,0.0
2000/01/05,75.0,80.5,75.0,80.5,162193,null,null,null,6.15,,,82.66666666666667,,72.66666666666667,,-0.5499453840385851,,,,,,,,
2000/01/06,79.5,81.0,78.5,79.5,98615,null,null,null,6.04,,,82.5,,74.16666666666667,,-0.5499453840385851,,,,,,,,
2000/01/07,78.0,81.5,76.0,81.0,97324,null,null,null,5.99,,,83.125,,74.125,,-0.5499453840385851,,,,,,,,
2000/01/10,86.5,86.5,86.5,86.5,43956,null,null,null,5.98,,,83.8,,76.6,,-0.5499453840385851,,80.6,,,,,,
2000/01/11,90.5,90.5,82.5,83.0,155955,null,null,null,6.03,,,85.3888888888889,,76.72222222222223,,-0.5499453840385851,,82.1,,,,,,
2000/01/12,83.0,84.0,81.0,82.5,88862,null,null,null,5.94,,,85.40476190476191,,77.11904761904762,,-0.5499453840385851,,82.5,,,,,,
2000/01/13,82.5,84.0,79.5,80.0,95869,null,null,null,5.82,,,85.4375,,77.0625,,-0.5499453840385851,,82.6,,,,,,
2000/01/14,80.5,81.5,78.0,80.0,64802,null,null,null,5.76,,,85.20370370370371,,76.98148148148148,,-0.5499453840385851,,82.4,,,,,,
2000/01/15,81.0,83.5,79.0,82.0,73025,null,null,null,5.72,,,85.28333333333333,,76.98333333333333,,-0.5499453840385851,,81.5,81.05,,,,,
2000/01/17,82.0,83.0,81.0,81.0,45304,null,null,null,5.79,,,85.13636363636364,,77.22727272727273,,-0.5499453840385851,,81.1,81.6,,,,,
2000/01/18,81.0,81.0,79.0,79.0,52377,null,null,null,5.75,,,84.84722222222223,,77.2638888888889,,-0.5499453840385851,,80.4,81.45,,,,,
2000/01/19,79.0,79.0,76.0,77.0,73105,null,null,null,5.75,,,84.5,,77.03846153846153,,-0.5499453840385851,,79.8,81.2,,,,,
2000/01/20,77.0,78.5,76.5,77.5,41175,null,null,null,5.75,7.528075712725593,,84.14285714285714,,76.92857142857143,,-0.5499453840385851,,79.3,80.85,,,,,
2000/01/21,78.0,79.0,77.5,78.5,34089,null,null,null,5.72,11.288180661743668,,83.85555555555555,,76.92222222222222,,-0.5499453840385851,,78.6,80.05,,,,,
2000/01/24,79.0,79.5,78.0,78.0,34706,null,null,null,5.68,6.671817621281836,8.465316981841472,83.61458333333333,,76.92708333333333,,-0.5499453840385851,,78.0,79.55,,,,,
2000/01/25,78.0,80.0,78.0,78.0,46362,null,null,null,5.71,6.6718176212818365,8.088682116123946,83.44117647058823,,76.91176470588235,,-0.5499453840385851,,77.8,79.1,,,,,
2000/01/26,78.0,79.5,78.0,79.0,50539,null,null,null,5.77,10.754449915919018,8.364572156825902,83.26851851851852,,76.93518518518518,,-0.5499453840385851,,78.2,79.0,,,,,
2000/01/27,78.5,79.5,78.0,78.5,40149,null,null,null,5.77,8.636935944627691,8.63693594462769,83.10526315789474,,76.94736842105263,,-0.5499453840385851,,78.4,78.85,,,,,
2000/01/28,78.5,78.5,77.0,77.0,26959,null,null,null,5.71,5.604891492215817,7.537612696428167,82.9,79.9,76.9,,-0.5499453840385851,,78.1,78.35,79.7,,,,
2000/01/29,75.0,78.0,75.0,77.0,31937,null,null,null,5.72,9.964251541717006,7.766675950260743,82.825,79.9,76.975,,-0.5499453840385851,,77.9,77.95,79.775,,,,
2000/01/31,77.5,81.0,77.5,80.5,47648,null,null,null,5.73,36.90558394045468,18.90323891226151,82.775,79.95,77.125,,-0.5499453840385851,,78.4,78.1,79.775,,,,
2000/02/01,81.0,81.0,79.0,79.0,41562,null,null,null,5.65,24.35495230054864,23.114653803761435,82.75,79.95,77.15,,-0.5499453840385851,,78.4,78.3,79.75,,,,
2000/02/09,82.0,83.5,80.5,82.0,77148,null,null,null,5.51,49.22794917916579,38.679102926487396,82.75,80.075,77.4,,-0.5499453840385851,,79.1,78.75,79.8,,,,
2000/02/10,81.5,82.0,79.5,79.5,34655,null,null,null,5.59,27.53717259827693,31.61675372394759,82.56666666666666,79.76666666666667,76.96666666666667,,-0.5499453840385851,,79.6,78.85,79.45,,,,
2000/02/11,80.0,80.0,78.5,78.5,31540,null,null,null,5.61,20.28323304605844,28.97604720865492,81.925,79.45,76.975,-5.0,-0.5499453840385851,62.32406898485698,79.9,78.9,79.225,,,,-76.23131613893251
2000/02/14,77.5,77.5,76.0,76.0,38069,null,null,null,5.64,5.071860875465541,15.21558262639662,81.55,79.15,76.75,-10.0,,,79.0,78.7,78.9,,,,
2000/02/15,76.0,77.5,76.0,76.5,29732,null,null,null,5.62,7.870620642195933,10.494160856261244,81.175,78.925,76.675,-9.0,,,78.5,78.45,78.725,,,,
2000/02/16,77.5,78.0,76.5,77.0,19630,null,null,null,5.6,10.851598936250191,8.138699202187643,80.94166666666668,78.79166666666667,76.64166666666668,-8.0,,,77.5,78.3,78.575,,,,
2000/02/17,77.0,78.5,76.5,77.0,30395,null,null,null,5.52,10.851598936250191,9.94729902489601,80.60833333333333,78.58333333333334,76.55833333333334,-8.5,,,77.0,78.3,78.325,,,,
2000/02/18,78.5,80.0,78.0,79.0,53052,null,null,null,5.49,24.564616906086407,16.37641127072427,80.475,78.45,76.425,-4.5,,,77.1,78.5,78.225,,,,
2000/02/19,78.5,78.5,77.0,77.5,21980,null,null,null,5.51,14.070380960771088,15.946431755540567,80.35,78.35,76.35,-4.25,,,77.4,78.2,78.15,,,,
2000/02/21,77.0,77.5,73.0,73.0,31599,null,null,null,5.49,0.0,9.602722587335563,80.28333333333333,78.20833333333334,76.13333333333334,-10.0,,,76.7,77.6,77.95,,,,
2000/02/22,71.5,72.5,70.0,71.0,25206,null,null,null,5.45,2.532885446020572,4.196643533112516,79.99166666666667,77.89166666666668,75.79166666666667,-9.75,,,75.5,76.5,77.625,,,,
2000/02/23,72.0,74.0,71.5,72.0,21513,null,null,null,5.43,5.527499157928141,2.7637495789640707,79.75,77.6,75.45,-7.75,,,74.5,75.75,77.3,,,,
2000/02/24,74.0,75.5,73.0,74.5,30750,null,null,null,5.58,14.800075386284446,8.222264103491359,79.59166666666667,77.39166666666668,75.19166666666668,-2.75,,,73.6,75.35,77.125,,,,
2000/02/25,76.0,76.5,72.0,72.5,46152,null,null,null,4.83,7.492274732141647,8.990729678569977,79.46666666666667,77.14166666666668,74.81666666666668,-6.75,,,72.6,75.0,76.85,,,,
2000/02/29,76.0,77.5,74.5,76.0,57111,null,null,null,4.75,24.496403457407133,16.633360372313483,79.4,77.0,74.6,0.25,,,73.2,74.95,76.7,,,,
2000/03/01,81.0,81.0,81.0,81.0,47833,null,null,null,4.85,58.208578606430336,32.697411439414566,79.44166666666668,77.11666666666667,74.79166666666667,9.75,,,75.2,75.35,76.825,,,,
2000/03/02,85.5,85.5,80.5,80.5,114904,null,null,null,5.54,38.67902424487356,41.44181169093596,79.85,77.35,74.85,5.5,,,76.9,75.7,77.0,,,,
2000/03/03,81.5,83.0,81.0,83.0,58585,null,null,null,5.73,51.24166199734011,51.24166199734011,80.08333333333333,77.63333333333333,75.18333333333332,10.5,,,78.6,76.1,77.3,,,,
2000/03/04,83.0,83.0,80.5,81.0,41090,null,null,null,5.74,40.13583475168273,41.96019087675921,80.125,77.725,75.325,6.5,,,80.3,76.45,77.325,,,,
2000/03/06,81.0,81.0,78.0,78.5,25044,null,null,null,5.73,28.193329291007863,35.93267458657865,80.15,77.7,75.25,0.75,,,80.8,77.0,77.3,,,,
2000/03/07,78.0,79.5,77.0,78.0,22679,null,null,null,5.8,26.025087327051097,29.820412562246048,79.93333333333334,77.50833333333334,75.08333333333334,-0.5,,,80.2,77.7,77.1,,,,
2000/03/08,81.0,81.0,78.5,79.0,25565,null,null,null,5.81,30.42210777827131,28.731990679478457,79.89166666666668,77.46666666666667,75.04166666666667,1.5,,,79.9,78.4,77.075,,,,
2000/03/09,78.5,79.5,78.0,79.0,31569,null,null,null,5.84,30.42210777827131,29.29536304574274,79.88333333333334,77.45833333333334,75.03333333333333,0.25,,,79.1,78.85,77.1,,,,
2000/03/10,81.0,81.0,78.0,78.0,33844,null,null,null,5.91,25.850534620153965,28.00474583850013,80.08333333333334,77.58333333333334,75.08333333333334,-3.0,,,78.5,79.4,77.2,,,,
2000/03/13,76.5,76.5,73.0,73.0,32913,null,null,null,5.9,4.337376853464857,16.245730508497402,80.05833333333334,77.45833333333334,74.85833333333333,-11.0,,,77.4,79.1,77.025,,,,
2000/03/14,73.0,75.5,73.0,74.5,37431,null,null,null,5.88,8.139629356447111,11.84497368791117,79.96666666666667,77.31666666666666,74.66666666666666,-6.75,,,76.7,78.45,76.9,,,,
2000/03/15,74.0,77.0,73.5,74.0,41804,null,null,null,5.92,6.378146245349537,6.3211985110160605,79.91666666666667,77.19166666666668,74.46666666666667,-7.75,,,75.7,77.8,76.75,,,,
2000/03/16,71.0,75.0,69.0,74.5,52134,null,null,null,5.95,14.761054591783926,9.840703061189286,79.80833333333334,76.88333333333334,73.95833333333334,-3.25,,,74.8,76.95,76.525,,,,
2000/03/17,74.5,75.0,73.0,73.5,39959,null,null,null,5.94,11.540080059461559,10.637769272919297,79.64166666666667,76.69166666666666,73.74166666666666,-5.25,-1.75,-7.5,73.9,76.2,76.325,,,,
2000/03/20,71.0,74.5,71.0,72.5,74398,null,null,null,5.92,8.565360981880415,11.012606976703388,79.5,76.6,73.7,-7.25,-1.75,-8.5,73.8,75.6,76.3,,,,16.603448275862068
2000/03/21,73.5,77.5,73.5,77.5,41184,null,null,null,5.94,31.66560894369798,18.98431338335785,79.825,76.85,73.875,2.75,-1.75,-3.5,74.4,75.55,76.625,,,,12.781997918834547
2000/03/22,79.0,82.5,79.0,82.5,119822,null,null,null,6.15,58.38448315248889,35.99611980370434,80.31666666666668,77.29166666666667,74.26666666666668,12.0,-1.75,0.0,76.1,75.9,77.15,,,,-7.118457300275482
2000/03/23,87.5,88.0,87.0,88.0,72692,null,null,null,6.3,67.33405646821734,57.714905544186294,80.90833333333333,77.95833333333333,75.00833333333333,19.0,-1.5,5.25,78.8,76.8,77.825,,,,-16.29325929752066
2000/03/24,88.0,91.5,86.5,89.5,179291,null,null,null,6.18,62.780272629461386,66.04324266450017,81.70833333333334,78.73333333333333,75.75833333333334,18.5,-1.5,6.75,82.0,77.95,78.675,,,,-17.703879404512968
2000/03/27,89.5,93.0,88.0,89.5,134418,null,null,null,6.21,58.85650559012005,63.513985165273176,82.51666666666667,79.44166666666666,76.36666666666666,17.0,-3.125,6.75,85.4,79.6,79.35,,,,-18.523142224025467
2000/03/28,90.0,95.5,88.5,95.5,202255,null,null,null,6.39,74.57751127369511,68.74251154904026,83.47500000000001,80.05000000000001,76.62500000000001,26.5,-3.75,13.75,89.0,81.7,80.075,,,,-28.381897426057403
2000/03/29,95.5,97.0,93.0,97.0,115161,null,null,null,6.63,75.7676404603204,72.08449127127705,84.1,80.725,77.35,27.0,-4.375,16.75,91.9,84.0,80.9,79.2,,,-41.202173450951214
2000/03/30,95.0,97.5,94.0,95.0,90203,null,null,null,6.66,64.76766425129564,68.91943760073765,84.83333333333333,81.38333333333333,77.93333333333332,22.5,-4.375,14.75,93.3,86.05,81.5,79.525,,,-26.823060941828253
2000/03/31,91.0,93.0,90.0,90.5,69787,null,null,null,6.67,46.46618714403102,54.75085616971095,85.34166666666667,81.86666666666666,78.39166666666667,12.25,-4.375,10.25,93.5,87.75,81.975,79.69166666666666,,,-17.766742468178627
2000/04/01,92.0,95.5,90.5,95.5,64173,null,null,null,6.67,62.15639903634474,57.85627080112592,86.175,82.6,79.025,19.5,-4.375,15.25,94.7,90.05,82.825,79.95833333333333,,,-25.71030125270689
2000/04/02,102.0,102.0,102.0,102.0,5229,null,null,null,0.0,72.1753086489172,64.57790773850485,87.24166666666666,83.79166666666666,80.34166666666667,24.25,-4.375,21.75,96.0,92.5,84.025,80.30833333333334,,,-32.70091431180315
2000/04/05,92.0,96.5,92.0,96.0,78171,null,null,null,6.62,50.188031151104695,56.762369734641226,88.10833333333333,84.55833333333334,81.00833333333334,12.25,-4.125,15.75,95.8,93.85,84.875,80.46666666666667,,,-22.251892089843746
2000/04/06,98.0,98.5,92.0,92.0,80077,null,null,null,6.89,38.363858455552354,46.889160334564,89.125,85.325,81.525,3.5,-2.5,11.75,95.2,94.25,85.525,80.61666666666666,,,-12.85591918714556
2000/04/07,93.0,96.5,92.0,92.5,76839,null,null,null,6.9,38.100980965803224,40.96879673742282,89.93333333333334,86.05833333333334,82.18333333333334,4.25,-2.5,12.25,95.6,94.55,86.25,80.78333333333333,,,-15.47845142439737
2000/04/08,92.5,93.5,91.0,91.5,57099,null,null,null,6.96,30.27992182781418,35.05525000137628,90.775,86.95,83.125,1.5,-2.5,11.25,94.8,94.75,87.175,80.975,,,-13.092358684941324
2000/04/10,91.0,95.0,90.0,95.0,94396,null,null,null,6.92,32.65496967962652,34.90527662685852,91.85,87.9,83.95,8.5,-2.125,14.75,93.4,94.7,88.2,81.225,,,-19.505193905817176
2000/04/11,92.5,93.5,90.0,90.0,72865,null,null,null,6.85,11.866367293804565,23.081681309584653,92.66666666666666,88.71666666666667,84.76666666666667,-1.5,-2.0,9.75,92.2,94.0,89.0,81.35833333333333,,,-9.87962962962963
2000/04/12,88.5,90.0,87.0,87.0,46936,null,null,null,6.81,0.0,12.604655655538492,93.275,89.475,85.675,-6.0,-2.0,6.75,91.2,93.2,89.625,81.45833333333333,,,-14.389615537059058
2000/04/13,82.5,88.0,82.5,87.5,73200,null,null,null,6.73,12.687903424438565,7.9538147273631,94.05833333333334,90.08333333333334,86.10833333333333,-2.75,-1.375,7.25,90.2,92.9,90.325,81.6,,,8.97530612244898
