Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score
2000/01/04,55.0,56.0,52.5,53.0,35135,null,null,null,1.67,,,57.333333333333336,,50.333333333333336,,-0.41476841696434263,,,,,,,,0.0
2000/01/05,52.0,54.0,52.0,54.0,33453,null,null,null,1.65,,,56.333333333333336,,50.833333333333336,,-0.41476841696434263,,,,,,,,
2000/01/06,54.0,57.5,53.0,56.0,69777,null,null,null,1.64,,,57.555555555555564,,50.88888888888889,,-0.41476841696434263,,,,,,,,
2000/01/07,55.0,55.5,53.0,54.0,26802,null,null,null,1.64,,,57.333333333333336,,51.083333333333336,,-0.41476841696434263,,,,,,,,
2000/01/10,55.0,57.0,54.0,56.0,34891,null,null,null,1.64,,,57.6,,51.4,,-0.41476841696434263,,54.6,,,,,,
2000/01/11,58.0,58.5,53.0,55.0,49258,null,null,null,1.64,,,58.166666666666664,,51.166666666666664,,-0.41476841696434263,,55.0,,,,,,
2000/01/12,55.0,58.5,54.0,58.5,56279,null,null,null,1.64,,,58.642857142857146,,51.357142857142854,,-0.41476841696434263,,55.9,,,,,,
2000/01/13,58.5,59.5,57.0,57.0,55472,null,null,null,1.65,,,58.854166666666664,,51.854166666666664,,-0.41476841696434263,,56.1,,,,,,
2000/01/14,57.5,58.5,54.5,55.0,29292,null,null,null,1.66,,,58.98148148148149,,51.87037037037037,,-0.41476841696434263,,56.3,,,,,,
2000/01/15,56.0,57.5,55.5,56.5,26374,null,null,null,1.66,,,58.93333333333334,,52.13333333333334,,-0.41476841696434263,,56.4,55.5,,,,,
2000/01/17,57.5,59.0,56.5,56.5,38592,null,null,null,1.66,,,59.01515151515151,,52.378787878787875,,-0.41476841696434263,,56.7,55.85,,,,,
2000/01/18,57.0,58.0,56.0,58.0,25752,null,null,null,1.66,,,59.041666666666664,,52.625,,-0.41476841696434263,,56.6,56.25,,,,,
2000/01/19,58.0,59.5,56.5,57.0,40814,null,null,null,1.65,,,59.166666666666664,,52.78205128205128,,-0.41476841696434263,,56.6,56.35,,,,,
2000/01/20,56.5,57.5,55.0,56.0,21138,null,null,null,1.65,28.864464880636127,,59.13095238095239,,52.845238095238095,,-0.41476841696434263,,56.8,56.55,,,,,
2000/01/21,56.5,57.5,56.0,56.5,19799,null,null,null,1.65,33.60144002279158,,59.06666666666667,,53.0,,-0.41476841696434263,,56.8,56.6,,,,,
2000/01/24,57.0,58.0,56.0,56.0,18507,null,null,null,1.65,24.75399611829071,28.512936269586714,59.041666666666664,,53.104166666666664,,-0.41476841696434263,,56.7,56.7,,,,,
2000/01/25,55.5,56.0,55.0,55.5,11900,null,null,null,1.65,19.729630166572715,24.72780314210447,58.8921568627451,,53.18627450980392,,-0.41476841696434263,,56.2,56.4,,,,,
2000/01/26,56.5,58.0,56.0,57.0,35079,null,null,null,1.65,35.265409864284976,27.918449475892267,58.89814814814815,,53.28703703703704,,-0.41476841696434263,,56.2,56.4,,,,,
2000/01/27,58.0,58.5,56.0,56.5,22360,null,null,null,1.66,29.54846336922245,28.14139368497376,58.929824561403514,,53.35087719298245,,-0.41476841696434263,,56.3,56.55,,,,,
2000/01/28,56.5,57.0,55.5,55.5,13050,null,null,null,1.64,13.713353738416167,23.910462928520495,58.858333333333334,56.13333333333334,53.40833333333334,,-0.41476841696434263,,56.1,56.45,55.975,,,,
2000/01/29,55.0,56.0,55.0,56.0,9409,null,null,null,1.64,15.727964038765968,19.418597402951924,58.825,56.225,53.625,,-0.41476841696434263,,56.1,56.4,56.125,,,,
2000/01/31,56.0,57.0,55.5,57.0,10964,null,null,null,1.64,28.235064910898913,20.19234945143074,58.95833333333333,56.383333333333326,53.80833333333334,,-0.41476841696434263,,56.4,56.3,56.275,,,,
2000/02/01,57.5,58.5,57.0,57.0,24568,null,null,null,1.64,25.09783547635459,23.42464644459761,58.908333333333324,56.48333333333333,54.05833333333334,,-0.41476841696434263,,56.4,56.3,56.325,,,,
2000/02/09,58.5,59.0,57.0,57.5,27082,null,null,null,1.64,32.50824960411748,29.257424643705733,59.06666666666668,56.66666666666667,54.266666666666666,,-0.41476841696434263,,56.6,56.45,56.5,,,,
2000/02/10,58.0,59.5,58.0,58.5,40423,null,null,null,1.64,48.47606693530756,36.9341462364248,59.141666666666666,56.81666666666666,54.49166666666666,,-0.41476841696434263,,57.2,56.65,56.625,,,,
2000/02/11,59.5,59.5,57.0,57.0,20403,null,null,null,1.64,24.120702911513252,32.160937215351005,59.108333333333334,56.93333333333334,54.75833333333334,1.0,-0.41476841696434263,46.56398039954768,57.4,56.75,56.725,,,,-82.56200364929934
2000/02/14,57.0,57.0,55.0,55.0,14595,null,null,null,1.64,0.0,18.64981397126883,58.916666666666664,56.86666666666666,54.81666666666666,-3.0,,,57.0,56.7,56.55,,,,
2000/02/15,55.0,56.5,55.0,55.5,11798,null,null,null,1.64,5.329936682129228,8.883227803548714,58.75833333333334,56.75833333333334,54.758333333333326,-2.5,,,56.7,56.55,56.475,,,,
2000/02/16,56.5,56.5,55.5,55.5,8333,null,null,null,1.63,5.329936682129228,3.5532911214194853,58.6,56.75,54.9,-2.5,,,56.3,56.45,56.5,,,,
2000/02/17,56.5,58.0,56.0,57.5,25105,null,null,null,1.62,31.215585293611774,14.567273137018827,58.63333333333334,56.78333333333334,54.93333333333332,1.5,,,56.1,56.65,56.55,,,,
2000/02/18,58.5,58.5,56.0,56.0,15875,null,null,null,1.62,11.073468495097893,14.764624660130526,58.60833333333333,56.758333333333326,54.90833333333334,-1.5,,,55.9,56.65,56.525,,,,
2000/02/19,56.0,57.0,55.5,56.5,10106,null,null,null,1.63,17.26292581340344,19.18102868155938,58.53333333333334,56.708333333333336,54.883333333333326,-1.0,,,56.2,56.6,56.45,,,,
2000/02/21,56.5,56.5,53.0,53.5,12185,null,null,null,1.63,3.181399124911977,8.719390194203196,58.391666666666666,56.541666666666664,54.69166666666668,-5.5,,,55.8,56.25,56.275,,,,
2000/02/22,51.0,53.0,50.5,52.0,9801,null,null,null,1.63,6.218624277568066,7.175335704886229,58.175,56.325,54.475,-6.0,,,55.1,55.7,56.075,,,,
2000/02/23,52.0,53.0,51.0,51.0,6722,null,null,null,1.63,1.9368256023303712,3.476353645208359,57.95,56.075,54.2,-7.5,,,53.8,54.95,55.8,,,,
2000/02/24,52.0,52.5,51.0,51.5,6424,null,null,null,1.63,4.120698602367167,4.120698602367167,57.675,55.825,53.975,-6.5,,,52.9,54.4,55.575,,,,
2000/02/25,51.5,52.5,49.1,50.0,8742,null,null,null,1.63,2.890611233420809,2.8192381165462232,57.54666666666666,55.57666666666667,53.60666666666667,-8.099999999999994,,,51.6,53.9,55.3,,,,
2000/02/29,50.5,52.0,50.0,50.5,6022,null,null,null,1.63,4.805156893224984,3.953449189928492,57.23833333333333,55.26833333333333,53.29833333333333,-7.099999999999994,,,51.0,53.4,54.975,,,,
2000/03/01,51.5,53.5,51.0,52.5,14518,null,null,null,1.63,14.384788722818143,8.038558403927784,57.004999999999995,55.03499999999999,53.065,-3.0999999999999943,,,51.1,53.1,54.775,,,,
2000/03/02,52.5,53.0,50.5,50.5,6156,null,null,null,1.63,5.753090025766033,7.860449009563119,56.82166666666666,54.80166666666666,52.78166666666667,-6.349999999999994,,,51.0,52.4,54.525,,,,
2000/03/03,50.5,51.5,50.5,50.5,4117,null,null,null,1.64,5.753090025766033,8.044842920645364,56.580000000000005,54.56,52.54,-6.099999999999994,,,50.8,51.85,54.25,,,,
2000/03/04,51.5,51.5,50.5,50.5,6373,null,null,null,1.64,5.753090025766033,5.753090025766033,56.27166666666667,54.276666666666664,52.28166666666666,-4.599999999999994,,,50.9,51.25,53.925,,,,
2000/03/06,51.5,51.5,50.5,50.5,5138,null,null,null,1.64,5.753090025766033,5.753090025766033,55.913333333333334,53.94333333333334,51.973333333333336,-4.599999999999994,,,50.9,50.95,53.6,,,,
2000/03/07,50.5,51.0,48.9,49.0,7902,null,null,null,1.64,0.35824614888092077,3.534187185059246,55.508333333333326,53.53333333333334,51.55833333333334,-7.400000000000006,,,50.2,50.65,53.175,,,,
