StockNumber,StockScore,StockClose,StockVolume
3024.TW,16.08704643577085,12.55,631.874
6582.TW,16.050974546101816,265.0,372.352
9958.TW,16.037782223238327,121.5,1261.382
2308.TW,15.843160806856948,287.0,6956.565
1734.TW,15.830036893626524,29.4,627.526
4943.TW,15.824474642755703,70.800003,590.398
9908.TW,15.786576596288825,33.349998,82.304
2323.TW,15.718343811450453,9.77,2810.37
6120.TW,15.701989937249138,13.3,1211.995
3311.TW,15.691167800550744,33.849998,150.862
2705.TW,15.679394096639276,18.1,177.74
4961.TW,15.649057562300708,280.0,13602.3
1720.TW,15.61402973111899,38.200001,243.425
2367.TW,15.523443327073435,20.799999,3094.134
2397.TW,15.477945267734786,64.599998,59.552
1233.TW,15.46025535512709,34.549999,8.001
1710.TW,15.370064800651758,22.4,2566.25
6183.TW,15.26273967237589,50.299999,24.94
2402.TW,15.253327665360365,18.85,2197.969
9904.TW,15.190646363492748,35.299999,5401.968
6192.TW,15.127529056795783,68.599998,53.25
5388.TW,15.096483973376523,64.900002,1051.935
2228.TW,15.065568298216496,72.5,148.874
4104.TW,15.040337594467507,56.0,254.109
8429.TW,15.028808725478864,13.95,753.727
00717.TW,14.983985182577657,16.950001,515.878
1225.TW,14.97011734891976,45.0,58.852
2495.TW,14.955808522596616,18.299999,846.962
2321.TW,14.946106082469738,6.93,4.0
9917.TW,14.915407910819374,94.0,236.045
8427.TW,14.774303995768229,48.0,25.1
1626.TW,14.758209759690516,25.700001,60.053
1541.TW,14.710841209253466,49.049999,19.0
1307.TW,14.698518734710737,23.450001,165.617
00738U.TW,14.678298573715503,26.299999,623.719
6230.TW,14.608663221269117,205.5,26.002
9943.TW,14.522545981898858,64.300003,44.12
2349.TW,14.5140124995056,9.54,1376.788
1713.TW,14.41067333229251,22.9,31.002
1477.TW,14.393047091412742,237.5,1522.081
2316.TW,14.338930181499668,29.9,452.203
8072.TW,14.29275643060132,25.15,31.0
3406.TW,14.242540679608409,519.0,1269.684
1413.TW,14.04839771496528,10.85,65.443
6235.TW,14.018044737291047,19.049999,390.35
2020.TW,13.882777639862852,35.599998,3087.685
2317.TW,13.853564049586776,110.0,28333.939
2731.TW,13.843629869573476,89.099998,250.014
4426.TW,13.823042426767548,22.35,189.397
3008.TW,13.767771028200675,2930.0,349.679
2424.TW,13.68805896518051,22.049999,1.172
2409.TW,13.571299346598805,20.65,205760.394
6289.TW,13.49291962304332,3.17,37.0
6283.TW,13.416805634665993,56.0,1390.712
2302.TW,13.329117764910734,19.549999,693.153
2851.TW,13.263236647318257,30.049999,2442.563
6213.TW,13.183191033086471,137.0,3525.268
5608.TW,13.138622826749987,50.0,50495.755
5521.TW,13.057859172437302,9.71,872.022
2897A.TW,12.835790954984589,9.96,165.0
4141.TW,12.788002346486875,12.3,61.633
1540.TW,12.757759378422447,16.200001,69.086
1533.TW,12.727698229501026,56.5,197.804
2701.TW,12.663643888606602,12.35,173.901
1442.TW,12.555765248438536,18.65,229.0
6128.TW,12.542398406880505,24.9,193.162
9934.TW,12.534128597983704,17.25,305.241
2881.TW,12.503766690111094,75.0,32792.027
6117.TW,12.483012733348158,16.75,9.15
3018.TW,12.185049037515387,16.450001,70.171
4545.TW,12.178852009327157,28.0,88.0
2305.TW,12.144958541097653,8.21,546.801
3706.TW,12.11856527800166,28.4,1965.083
1737.TW,12.118406268320522,32.099998,211.614
911608.TW,11.930597001799873,4.13,619.0
1446.TW,11.89869252338002,31.200001,87.0
2247.TW,11.795216049382717,225.0,30.276
1468.TW,11.730558554898575,11.3,37.0
6464.TW,11.724526959587164,108.5,10.02
6288.TW,11.718903098198252,26.450001,613.57
2330.TW,11.670815992865634,580.0,19174.005
1324.TW,11.616371439006574,11.1,92.002
2605.TW,11.352596633735049,38.400002,38296.89
3515.TW,11.34145321346494,168.5,3699.193
1618.TW,11.305932310952985,15.35,579.199
1538.TW,11.192344920461249,10.9,2.005
6005.TW,11.140991351318345,16.0,11005.952
6541.TW,10.958858848058036,53.799999,1576.613
6152.TW,10.910678489360722,9.63,352.108
2434.TW,10.679066050412647,43.450001,23.268
1603.TW,10.63146828565549,28.85,441.737
2888B.TW,10.614241445768169,40.700001,380.39
4763.TW,10.56378416160872,100.0,103.73
3443.TW,10.559070997993588,411.5,1526.17
9955.TW,10.425777090084944,18.0,156.353
3346.TW,10.419807673576578,50.099998,1965.27
2712.TW,10.415730817805231,38.900002,13.0
4989.TW,10.412898048269758,48.25,1914.528
9940.TW,10.350692473191732,30.25,173.313
6197.TW,10.331033612380224,36.450001,132.008
8480.TW,10.324619113573409,114.0,8.0
1475.TW,10.236268595017084,34.950001,9.289
2492.TW,10.163984374999998,200.0,1850.284
1316.TW,10.12653678366053,12.3,261.766
1504.TW,10.01916555942186,31.049999,2824.494
2002.TW,9.988558546615977,36.349998,119113.65
00682U.TW,9.986170544969829,18.200001,164.0
1806.TW,9.860405980287474,11.95,936.399
00771.TW,9.831263637861,19.280001,64.716
2374.TW,9.74456518646803,15.7,393.746
1515.TW,9.720646707637483,77.099998,1222.562
1568.TW,9.708431915033437,27.299999,268.3
00732.TW,9.603686221862096,39.73,100.0
2413.TW,9.449627134466134,20.299999,131.011
2436.TW,9.390420527206604,77.599998,7552.423
2823.TW,9.26995958319412,26.299999,6965.361
4414.TW,9.223722429697704,8.85,1666.009
00683L.TW,9.180446839390536,17.110001,1314.0
4938.TW,9.122004680017838,67.300003,7631.266
2506.TW,9.104234365011706,9.88,270.437
1101B.TW,8.97834711552837,53.799999,119.0
1463.TW,8.966859342747249,14.6,131.167
2331.TW,8.934943532182308,21.6,2419.658
1315.TW,8.838842312690057,69.099998,28.855
2239.TW,8.83687047205831,86.099998,30.279
2426.TW,8.792157720044338,26.0,7249.446
9944.TW,8.790744028395107,22.5,348.431
2405.TW,8.698111174949716,11.8,652.186
2009.TW,8.669290880587429,55.200001,14102.967
1219.TW,8.634729490319076,22.4,645.712
3557.TW,8.540341042386629,82.0,79.182
2618.TW,8.48132575248638,18.25,32095.584
1409.TW,8.41859399675935,20.549999,4412.299
5706.TW,8.38974441174528,43.5,603.116
1457.TW,8.376734837962983,18.0,568.702
3033.TW,8.341065350477532,24.0,5899.435
4956.TW,8.302348430957277,26.9,6252.652
4536.TW,8.223869420296383,149.0,90.267
3338.TW,8.062666547995079,50.299999,634.279
6443.TW,7.905430819198862,32.549999,7377.667
3563.TW,7.800688794378698,260.0,491.584
1609.TW,7.751244330979706,27.200001,5161.608
1455.TW,7.723149480722567,21.1,7458.156
6451.TW,7.660296731248209,106.5,603.852
2201.TW,7.624641237519576,39.900002,1752.445
2423.TW,7.577723672074285,24.75,405.959
3046.TW,7.495272065217376,23.0,42.338
1419.TW,7.448526030265555,41.5,28.027
00757.TW,7.379724173045428,49.209999,1313.658
8249.TW,7.231274159729233,28.549999,721.523
3043.TW,7.102051595685528,3.91,136.0
3665.TW,7.062408212084967,257.0,1639.433
2748.TW,7.0250119115482095,43.349998,144.515
00736.TW,7.014268715783438,22.219999,114.0
1529.TW,6.967985465800526,16.049999,78.721
2515.TW,6.874916792000399,8.71,3058.9
1789.TW,6.851949684611082,25.85,248.565
3027.TW,6.832054484876908,23.0,2638.24
3164.TW,6.816176431612272,24.200001,8.075
2505.TW,6.7432103739178055,29.450001,425.075
1524.TW,6.722448224852055,10.4,290.644
2444.TW,6.711689952437559,11.6,96.001
3518.TW,6.650023640933341,24.200001,61.006
2022.TW,6.634021658380025,20.200001,17555.621
1527.TW,6.314545463294614,49.25,707.667
6449.TW,6.293400350723058,59.099998,122.004
2929.TW,6.261648655737721,15.25,260.955
8341.TW,6.256300973745691,203.5,204.13
1314.TW,6.249908083823597,13.15,20891.344
2010.TW,6.242055314181838,28.65,14329.179
00639.TW,6.241599763839192,16.200001,1334.004
2477.TW,6.22572558831834,33.400002,1329.794
1726.TW,6.18544508682543,76.5,38.183
4562.TW,6.151658057202329,19.75,85.442
2454.TW,6.087580002415168,910.0,5824.935
2345.TW,6.072255259889344,326.0,842.16
9919.TW,6.0668867201994665,33.849998,3159.51
00681R.TW,6.038909073112637,13.14,76.0
8443.TW,6.035185185185188,11.25,23.128
5258.TW,5.970853310273005,23.049999,269.206
1506.TW,5.89620502891873,10.1,167.293
1236.TW,5.873781332233231,15.1,26.59
5243.TW,5.868118171745094,66.5,1424.387
00742.TW,5.861318533252899,23.16,110.001
00689R.TW,5.813765364485706,13.82,373.0
2027.TW,5.810097214312163,52.0,46451.888
2453.TW,5.687921195958733,25.35,561.139
2841.TW,5.658875317750647,6.35,765.771
2908.TW,5.648164713014152,25.15,61.037
1906.TW,5.63709929507697,20.25,176.175
1309.TW,5.625377122030124,43.200001,2004.661
2399.TW,5.614293421623209,25.75,3968.052
8271.TW,5.610812531670911,46.75,1302.613
1443.TW,5.5362204113975695,15.15,33.049
2301.TW,5.472947058245128,64.099998,26634.317
2365.TW,5.4438391461482345,11.85,834.624
2327.TW,5.39388352997449,560.0,4342.899
2489.TW,5.34715921672473,17.1,7049.888
1615.TW,5.336122893494144,36.25,286.26
2429.TW,5.316510035924383,15.85,18.0
1583.TW,5.259339504582867,66.099998,5.0
1474.TW,5.231571347173475,14.55,792.487
3617.TW,5.152181675522629,80.199997,18.129
6674.TW,5.146782574104952,28.950001,11.0
3055.TW,5.051463764807371,30.049999,88.57
4977.TW,5.039997180326495,87.5,325.512
9902.TW,5.01831332439167,12.55,372.208
6196.TW,4.854922522522523,111.0,1176.3
1708.TW,4.83797035431758,33.849998,1898.32
1907.TW,4.786640889798584,39.75,2746.406
4190.TW,4.779157604858553,76.199997,61.001
1326.TW,4.777331219168766,82.199997,3902.189
8105.TW,4.777144891420442,13.25,1082.45
6142.TW,4.607609988109397,13.05,514.824
4720.TW,4.567730659770174,14.55,130.323
2471.TW,4.556476457100418,25.9,226.207
1522.TW,4.537028180737169,21.75,353.611
2337.TW,4.482870550878393,41.5,36378.087
3094.TW,4.477138480902774,36.0,3661.231
2062.TW,4.460052339601594,30.9,270.0
1215.TW,4.443950048891826,78.599998,730.05
1731.TW,4.362930510789421,19.85,339.406
4566.TW,4.361391392027148,49.299999,87.0
2482.TW,4.303624260355038,13.0,98.556
1321.TW,4.120666295844252,36.200001,82.0
4540.TW,4.117473749357102,54.0,252.02
3536.TW,4.040861629677963,7.51,65.0
2615.TW,3.9406017683763066,223.5,206143.674
3058.TW,3.9289062355496167,17.4,1596.788
1109.TW,3.9141351532198247,25.35,627.101
1213.TW,3.903854907041112,8.45,4.0
2427.TW,3.7396694214875774,11.0,216.0
2355.TW,3.7165175955607688,32.200001,1026.152
5007.TW,3.711983325282408,58.0,9.19
3607.TW,3.671391813175744,15.35,586.522
3013.TW,3.593190452199714,13.55,310.462
1449.TW,3.496012957127217,16.450001,118.224
00640L.TW,3.443410347169428,27.290001,407.0
6209.TW,3.414404871721646,33.900002,1305.593
3052.TW,3.4062500000000195,12.0,250.173
3028.TW,3.388392850765304,28.0,1210.775
2459.TW,3.340356623397688,54.599998,90.383
2419.TW,3.33105083676268,20.25,314.336
6698.TW,3.3301790018779207,44.950001,202.854
8996.TW,3.322259714396383,48.700001,145.334
2468.TW,3.3098967604129603,13.25,17.0
3413.TW,3.293542430326585,233.0,503.871
2548.TW,3.288463974048458,85.0,368.428
1539.TW,3.1897894227335515,17.75,30.001
2364.TW,3.154054260021328,3.24,35.514
3645.TW,3.1526742828700365,51.400002,229.103
8011.TW,3.11174118882586,17.25,731.772
2739.TW,3.108567984918555,24.049999,62.018
3703.TW,3.0999305432765567,23.9,893.068
6224.TW,3.0778407443079256,147.0,2722.832
00686R.TW,3.0503978779840666,3.77,78.0
5519.TW,3.0278500183902173,22.200001,622.35
6133.TW,3.007724079553494,8.91,58.005
6715.TW,2.964058733289502,117.0,730.015
00664R.TW,2.9239518753296454,6.34,7726.0
1530.TW,2.8830090589037183,38.099998,9.032
3047.TW,2.869515366188244,11.05,818.528
2332.TW,2.833948492344803,19.35,4255.971
2727.TW,2.7465660970689454,159.0,1196.672
4737.TW,2.7373616670578387,69.300003,43.077
9911.TW,2.7059308171120624,65.300003,303.646
2450.TW,2.704655420544265,31.9,30.31
2527.TW,2.703071757473624,26.15,523.9
2885.TW,2.5770923002626933,25.4,16097.663
2904.TW,2.576917377006533,29.0,38.309
6024.TW,2.570242306277395,39.75,80.528
0056.TW,2.5482831798167536,33.900002,28709.299
1103.TW,2.541338709790709,22.450001,441.036
6579.TW,2.5137550738807284,67.099998,4.0
1410.TW,2.5026779039697336,34.049999,5.408
2903.TW,2.495661927327827,22.799999,339.781
3050.TW,2.487100282289797,14.7,1565.454
00632R.TW,2.422125469860603,5.61,97522.231
1445.TW,2.3653609726111577,12.1,178.002
6781.TW,2.3409007535303448,837.0,234.767
1723.TW,2.328215039363688,111.0,140.171
00676R.TW,2.327276200284002,3.47,5896.002
2867.TW,2.2498227111092555,9.24,13814.922
2236.TW,2.2341911196375666,26.0,5.0
4722.TW,2.2325275217542684,35.25,911.393
6282.TW,2.214075166733062,26.950001,4430.986
6136.TW,2.152955858314379,17.9,93.272
1513.TW,2.0985993805754406,50.5,8718.384
8422.TW,2.0820046768707483,168.0,115.504
1444.TW,2.0762711864406675,11.8,2132.368
1423.TW,2.0510411032990934,21.5,472.252
2855.TW,2.0474555678601902,27.049999,2480.918
2059.TW,2.047069951803973,372.5,62.062
1711.TW,2.036450527613393,19.5,4450.498
8103.TW,1.962035262363225,46.549999,3349.813
1733.TW,1.925378787398988,23.950001,151.501
3017.TW,1.9196301672731035,75.199997,4141.314
1802.TW,1.8409870023648371,38.099998,31391.513
3019.TW,1.8207792272047607,85.800003,2169.395
2474.TW,1.7777574872169466,185.0,2498.602
6431.TW,1.7500272110264454,34.599998,117.007
4552.TW,1.7484962211805797,30.0,119.8
1516.TW,1.7361513380444062,21.85,37.453
8473.TW,1.728387350989396,39.900002,28.337
1476.TW,1.699324778285407,610.0,809.698
5284.TW,1.6681978241349038,44.599998,9.0
6515.TW,1.6576920304329152,288.5,268.661
9907.TW,1.6071222409277932,14.85,2630.167
1521.TW,1.5931873997431754,45.75,24.0
3004.TW,1.5831245157641214,59.599998,104.641
1104.TW,1.5827300931046226,22.9,427.273
1531.TW,1.5706187619027263,15.2,105.342
2360.TW,1.542256667249383,196.5,926.701
2511.TW,1.5345713485408168,11.95,900.841
00645.TW,1.5338435508509898,24.879999,190.052
1466.TW,1.5214183146666715,18.75,1347.75
1721.TW,1.5156360063767265,9.99,93.788
01002T.TW,1.4808483688645169,17.709999,145.0
00743.TW,1.4738183892700525,29.360001,162.0
00643.TW,1.4090542965020696,17.879999,485.725
00684R.TW,1.3992577292110733,18.76,2.0
1218.TW,1.3616494815594673,29.049999,364.283
1617.TW,1.3564396124167637,20.1,336.427
